Time[s],USET[V],ISET[A],UOUT[V],IOUT[A],POUT[W],UIN[V],PROT,CVCC,calls,res,cmt,R,G,B,W,Lux,K,CIEx,CIEy
10.922,1.25,0.500,1.25,0.087,00.10,24.28, 0, 0,    1,.  ,   ,10786,15636,1572,72392,33,1728.5,0.525,0.336
15.032,1.50,0.500,1.50,0.095,00.14,24.28, 0, 0,    2,.  ,   ,10888,15664,1602,79588,33,1734.7,0.525,0.334
19.144,1.75,0.500,1.74,0.102,00.17,24.28, 0, 0,    3,.  ,   ,11018,15756,1636,89074,33,1741.1,0.526,0.332
23.255,2.00,0.500,2.01,0.110,00.22,24.28, 0, 0,    4,.  ,   ,11370,16030,1728,110790,34,1761.9,0.526,0.328
27.359,2.25,0.500,2.26,0.117,00.26,24.28, 0, 0,    5,.  ,   ,11996,16540,1802,139886,35,1815.2,0.531,0.324
31.468,2.50,0.500,2.51,0.123,00.30,24.28, 0, 0,    6,.  ,   ,12974,17448,1924,180844,37,1905.4,0.536,0.319
35.582,2.75,0.500,2.76,0.130,00.35,24.28, 0, 0,    7,.  ,   ,14732,19190,2124,239050,41,2075.1,0.544,0.313
39.695,3.00,0.500,3.00,0.136,00.40,24.28, 0, 0,    8,.  ,   ,16956,21558,2316,311142,46,2249.3,0.552,0.311
43.798,3.25,0.500,3.26,0.142,00.46,24.28, 0, 0,    9,.  ,   ,19988,24716,2490,400974,53,2497.3,0.564,0.308
47.912,3.50,0.500,3.50,0.148,00.51,24.28, 0, 0,   10,.  ,   ,23978,28890,2716,510992,62,2775.2,0.575,0.306
52.017,3.75,0.500,3.75,0.154,00.57,24.28, 0, 0,   11,.  ,   ,29166,34454,2962,644664,74,3012.1,0.586,0.306
56.132,4.00,0.500,4.01,0.160,00.64,24.28, 0, 0,   12,.  ,   ,35700,41678,3300,816992,89,3160.6,0.594,0.307
60.235,4.25,0.500,4.26,0.165,00.70,24.28, 0, 0,   13,.  ,   ,43852,50686,3644,1002912,108,3287.9,0.602,0.308
64.348,4.50,0.500,4.51,0.170,00.76,24.28, 0, 0,   14,.  ,   ,49178,55744,3608,1205036,119,3566.5,0.612,0.307
68.462,4.75,0.500,4.76,0.175,00.83,24.28, 0, 0,   15,.  ,   ,61192,69458,4080,1449696,149,3527.7,0.616,0.309
72.565,5.00,0.500,5.01,0.180,00.90,24.28, 0, 0,   16,.  ,   ,75420,85882,4652,1738912,184,3466.4,0.619,0.312
76.679,5.25,0.500,5.25,0.185,00.97,24.28, 0, 0,   17,.  ,   ,92002,105564,5494,2062208,226,3348.7,0.619,0.314
80.789,5.50,0.500,5.50,0.191,01.05,24.28, 0, 0,   18,.  ,   ,111482,128858,6494,2417888,277,3241.5,0.618,0.316
84.899,5.75,0.500,5.75,0.195,01.12,24.28, 0, 0,   19,.  ,   ,134172,156180,7874,2805528,335,3146.3,0.617,0.318
89.012,6.00,0.500,6.01,0.200,01.20,24.28, 0, 0,   20,.  ,   ,161532,189074,9370,3260328,406,3072.4,0.616,0.319
93.121,6.25,0.500,6.26,0.205,01.28,24.28, 0, 0,   21,.  ,   ,190772,225362,11196,3762384,484,2947.0,0.614,0.321
97.227,6.50,0.500,6.51,0.209,01.36,24.27, 0, 0,   22,.  ,   ,224176,266310,13286,4300560,572,2891.4,0.612,0.322
101.341,6.75,0.500,6.75,0.213,01.43,24.28, 0, 0,   23,.  ,   ,258948,309676,15604,4841536,665,2815.3,0.610,0.323
105.449,7.00,0.500,7.00,0.217,01.51,24.28, 0, 0,   24,.  ,   ,299496,360308,18434,5460032,774,2750.2,0.608,0.324
109.559,7.25,0.500,7.25,0.222,01.60,24.28, 0, 0,   25,.  ,   ,344430,416708,21580,6122592,895,2690.7,0.606,0.325
113.663,7.50,0.500,7.50,0.226,01.69,24.27, 0, 0,   26,.  ,   ,392946,482656,25222,6864416,1037,2540.3,0.602,0.327
117.778,7.75,0.500,7.74,0.230,01.78,24.27, 0, 0,   27,.  ,   ,450704,551616,29028,7638496,1185,2574.9,0.603,0.326
121.886,8.00,0.500,8.01,0.235,01.88,24.27, 0, 0,   28,.  ,   ,512792,632820,33670,8517248,1360,2497.2,0.600,0.328
125.999,8.25,0.500,8.25,0.239,01.97,24.27, 0, 0,   29,.  ,   ,576056,717032,38642,9403232,1541,2421.1,0.598,0.329
130.111,8.50,0.500,8.50,0.242,02.05,24.27, 0, 0,   30,.  ,   ,645444,807784,44238,10328928,1736,2375.5,0.596,0.330
134.217,8.75,0.500,8.75,0.247,02.16,24.27, 0, 0,   31,.  ,   ,721752,905344,50378,11317248,1946,2356.9,0.595,0.330
138.330,9.00,0.500,9.00,0.250,02.25,24.27, 0, 0,   32,.  ,   ,802292,1011012,56932,12373760,2173,2320.2,0.593,0.331
142.432,9.25,0.500,9.25,0.254,02.34,24.27, 0, 0,   33,.  ,   ,887256,1121876,64508,13508800,2412,2294.0,0.591,0.331
146.549,9.50,0.500,9.49,0.259,02.45,24.27, 0, 0,   34,.  ,   ,978992,1240816,73636,14692224,2667,2275.9,0.589,0.330
150.652,9.75,0.500,9.74,0.262,02.55,24.26, 0, 0,   35,.  ,   ,1074556,1372664,83124,15941312,2951,2218.6,0.586,0.331
154.763,10.00,0.500,10.01,0.266,02.66,24.26, 0, 0,   36,.  ,   ,1181464,1535928,94182,17327552,3302,2103.5,0.581,0.334
158.874,10.25,0.500,10.25,0.269,02.75,24.26, 0, 0,   37,.  ,   ,1291120,1687616,105248,18690496,3628,2071.2,0.579,0.335
162.981,10.50,0.500,10.50,0.273,02.86,24.26, 0, 0,   38,.  ,   ,1423776,1851288,117990,20143040,3980,2101.7,0.579,0.333
167.100,10.75,0.500,10.75,0.277,02.97,24.26, 0, 0,   39,.  ,   ,1550048,2022232,133716,21662016,4347,2080.9,0.577,0.333
171.206,11.00,0.500,11.00,0.280,03.08,24.26, 0, 0,   40,.  ,   ,1684360,2199448,148316,23238912,4728,2075.2,0.575,0.332
175.316,11.25,0.500,11.25,0.283,03.18,24.26, 0, 0,   41,.  ,   ,1822656,2391520,164068,24899136,5141,2047.3,0.573,0.333
179.422,11.50,0.500,11.50,0.287,03.30,24.26, 0, 0,   42,.  ,   ,1967176,2592488,180776,26699776,5573,2022.9,0.571,0.333
183.537,11.75,0.500,11.75,0.291,03.41,24.26, 0, 0,   43,.  ,   ,2118048,2800496,198204,28478976,6021,2005.3,0.570,0.333
187.644,12.00,0.500,12.01,0.294,03.53,24.26, 0, 0,   44,.  ,   ,2284984,3040360,218068,30462592,6536,1973.3,0.567,0.334
193.598,12.00,0.500,12.01,0.294,03.53,24.26, 0, 0,   45,.  ,   ,2284808,3039440,218732,30493440,6534,1974.3,0.567,0.334
196.793,11.75,0.500,11.75,0.291,03.41,24.26, 0, 0,   46,.  ,   ,2119440,2802656,198796,28536960,6025,2004.6,0.570,0.333
200.894,11.50,0.500,11.50,0.287,03.30,24.26, 0, 0,   47,.  ,   ,1969760,2592048,181820,26794752,5572,2030.8,0.571,0.333
205.009,11.25,0.500,11.26,0.283,03.18,24.26, 0, 0,   48,.  ,   ,1824936,2393184,164616,25086464,5145,2050.3,0.573,0.333
209.122,11.00,0.500,11.00,0.280,03.08,24.26, 0, 0,   49,.  ,   ,1686352,2201472,149232,23442304,4733,2076.6,0.575,0.332
213.232,10.75,0.500,10.75,0.276,02.96,24.26, 0, 0,   50,.  ,   ,1553128,2022704,135160,21870464,4348,2091.1,0.577,0.332
217.335,10.50,0.500,10.50,0.273,02.86,24.26, 0, 0,   51,.  ,   ,1427808,1854256,122140,20360192,3986,2108.5,0.578,0.332
221.453,10.25,0.500,10.25,0.269,02.75,24.26, 0, 0,   52,.  ,   ,1308480,1692048,106578,18910720,3637,2136.0,0.581,0.333
225.554,10.00,0.500,10.01,0.265,02.65,24.26, 0, 0,   53,.  ,   ,1197824,1539144,95034,17549824,3309,2177.9,0.584,0.332
229.669,9.75,0.500,9.74,0.262,02.55,24.27, 0, 0,   54,.  ,   ,1088776,1388192,83926,16140992,2984,2232.1,0.587,0.331
233.779,9.50,0.500,9.49,0.258,02.44,24.27, 0, 0,   55,.  ,   ,982892,1254560,74412,14894144,2697,2224.4,0.587,0.332
237.888,9.25,0.500,9.25,0.254,02.34,24.27, 0, 0,   56,.  ,   ,892392,1132192,65650,13697728,2434,2268.4,0.590,0.331
